Date,total_sales,is_holiday,temperature,fuel_price,cpi,unemployment,total_markdown,week_of_year,month,quarter,year,trend,week_sin,week_cos,is_thanksgiving_week,is_christmas_week,is_superbowl_week,is_q4,is_december,is_january,lag_1,lag_2,lag_4,lag_8,lag_52,rolling_mean_4,rolling_mean_12,rolling_std_4,yoy_growth
2011-02-04,46153111.12,0,29.807583732057417,3.1364155844155843,168.89454993257007,8.237055707450445,0.0,5,2,1,2011,52,0.5680647467311558,0.8229838658936564,0,0,0,0,0,0,39599852.99,40654648.03,42775787.77,55666770.39,49750740.5,40925991.7075,50794657.31666666,1331375.0972860325,-0.07231308205352245
2011-02-11,47336192.79,1,31.445704560925797,3.163656569094622,169.10678193325393,8.233422055820286,0.0,6,2,1,2011,53,0.6631226582407952,0.7485107481711011,0,0,1,0,0,0,46153111.12,39599852.99,40673678.04,61820799.85,48336677.63,41770322.545,50797016.5075,2964632.2186796353,-0.020698254184086825
2011-02-18,48716164.12,0,45.21960611205433,3.183584380305603,169.2342289303226,8.24421867572156,0.0,7,2,1,2011,54,0.7485107481711011,0.6631226582407953,0,0,0,0,0,0,47336192.79,46153111.12,40654648.03,80931415.6,48276993.78,43435951.2325,50981233.89166666,3874968.3564917636,0.009096886645455
2011-02-25,44125859.84,0,42.34485334242838,3.2133393587994545,169.49088447046384,8.243162687585267,0.0,8,2,1,2011,55,0.8229838658936564,0.5680647467311558,0,0,0,0,0,0,48716164.12,47336192.79,39599852.99,40432519.0,43968571.13,45451330.254999995,49555830.63166667,4039147.166881854,0.0035772986466845163
2011-03-04,46980603.74,0,43.982755240027046,3.3943066260987154,169.61803184100742,8.242731913455037,0.0,9,3,1,2011,56,0.8854560256532098,0.4647231720437686,0,0,0,0,0,0,44125859.84,48716164.12,46153111.12,42775787.77,46871470.3,46582831.9675,49073899.961666666,1944224.8364370114,0.002328355379114384
2011-03-11,44627319.4,0,46.45343454790824,3.5377459514170044,170.08558878687583,8.243171052631578,0.0,10,3,1,2011,57,0.9350162426854148,0.35460488704253557,0,0,0,0,0,0,46980603.74,44125859.84,47336192.79,40673678.04,45925396.51,46789705.122499995,48350052.740833335,1927209.295937054,-0.02826490806056188
2011-03-18,44872325.97,0,52.368406239403186,3.5781203797897594,170.10789255893525,8.249061715835877,0.0,11,3,1,2011,58,0.970941817426052,0.23931566428755804,0,0,0,0,0,0,44627319.4,46980603.74,48716164.12,40654648.03,44988974.64,46112486.775,46917262.70333334,2135819.241135858,-0.002592827930252242
2011-03-25,42876199.18,0,50.97975526852481,3.576419442556084,170.26413320948333,8.242885112168592,0.0,12,3,1,2011,59,0.992708874098054,0.120536680255323,0,0,0,0,0,0,44872325.97,44627319.4,44125859.84,39599852.99,44133961.05,45151527.237500004,43912338.567499995,1258340.3973702544,-0.02849873068440562
2011-04-01,43458991.19,0,47.94236191121654,3.602445611657065,170.33592783480177,8.107779057946459,0.0,13,4,2,2011,60,1.0,-1.6081226496766366e-16,0,0,0,0,0,0,42876199.18,44872325.97,46980603.74,46153111.12,50423831.26,44839112.072500005,44115978.582499996,1681762.258726072,-0.13812595941167682
2011-04-08,45887466.8,0,55.055833049403745,3.6949979557069845,170.78797316487223,8.103533560477002,0.0,14,4,2,2011,61,0.992708874098054,-0.12053668025532288,0,0,0,0,0,0,43458991.19,42876199.18,44627319.4,47336192.79,47365290.44,43958708.935,44172912.20083333,949259.5772298382,-0.031200561133939087
2011-04-15,44973328.14,0,56.60845242126651,3.7926224178801218,170.87836600738234,8.107176430748392,0.0,15,4,2,2011,62,0.9709418174260521,-0.2393156642875575,0,0,0,0,0,0,45887466.8,43458991.19,44872325.97,48716164.12,45183667.08,44273745.785,44607394.597500004,1363739.383135917,-0.004655198517366502
2011-04-22,48676692.06,0,58.538818950930626,3.8572257191201356,170.73982514511,8.109348223350255,0.0,16,4,2,2011,63,0.9350162426854148,-0.35460488704253545,0,0,0,0,0,0,44973328.14,45887466.8,42876199.18,44125859.84,44734452.56,44298996.3275,44967284.60666666,1379362.435972301,0.08812535471877025
2011-04-29,43530032.78,0,61.69543699186992,3.901019308943089,170.71676392242546,8.11118699186992,0.0,17,4,2,2011,64,0.8854560256532099,-0.4647231720437685,0,0,0,0,0,0,48676692.06,44973328.14,43458991.19,46980603.74,43705126.71,45749119.5475,45723687.862500004,2193654.5595570183,-0.004006256088943843
2011-05-06,46861958.29,0,57.69305648957633,3.980005043712172,171.01813418443174,8.097976462676531,0.0,18,5,2,2011,65,0.8229838658936565,-0.5680647467311557,0,0,0,0,0,0,43530032.78,48676692.06,45887466.8,44627319.4,48503243.52,45766879.945,45505098.00083333,2169082.558824228,-0.033838669558732305
2011-05-13,45446144.82,0,64.5778564206269,3.9907923828783285,171.18304067232893,8.09928749578699,0.0,19,5,2,2011,66,0.7485107481711013,-0.6631226582407951,0,0,0,0,0,0,46861958.29,43530032.78,44973328.14,44872325.97,45330080.2,46010502.8175,45465578.45916667,2240684.747798827,0.00256043270799237
2011-05-20,44046598.01,0,61.973906675749326,3.9873572888283375,170.94011280742507,8.106404972752044,0.0,20,5,2,2011,67,0.6631226582407952,-0.7485107481711012,0,0,0,0,0,0,45446144.82,46861958.29,48676692.06,42876199.18,45120108.06,46128706.9875,45193076.850833334,2179364.1390344636,-0.02379227568720509
2011-05-27,45293457.04,0,69.11696907917091,3.9044573564390075,170.98747338440367,8.104972816853552,0.0,21,5,2,2011,68,0.5680647467311558,-0.8229838658936564,0,0,0,0,0,0,44046598.01,45446144.82,43530032.78,43458991.19,47757502.56,44971183.474999994,45186471.69833333,1498042.1987904103,-0.051594940855718044
2011-06-03,48771994.18,0,73.1291478439425,3.8399982888432582,170.88305229804928,8.097241273100616,0.0,22,6,2,2011,69,0.46472317204376906,-0.8854560256532096,0,0,0,0,0,0,45293457.04,44046598.01,46861958.29,45887466.8,50188543.12,45412039.54,45045876.13999999,1152087.949895035,-0.028224547913515877
2011-06-10,47669734.66,0,74.4125512995896,3.8035786593707255,170.78352081751027,8.104302325581395,0.0,23,6,2,2011,70,0.35460488704253584,-0.9350162426854147,0,0,0,0,0,0,48771994.18,45293457.04,45446144.82,44973328.14,47826546.72,45889548.5125,45391265.705000006,2021294.260192704,-0.003278766098628381
2011-06-17,47447561.77,0,74.27129711375213,3.7722482173174874,170.8557363123939,8.096382682512735,0.0,24,6,2,2011,71,0.23931566428755768,-0.970941817426052,0,0,0,0,0,0,47669734.66,48771994.18,44046598.01,48676692.06,47622046.23,46445445.9725,45624383.09583333,2159726.788273175,-0.0036639429384719546
2011-06-24,45884094.58,0,75.70794679399728,3.7305968622100956,170.97084108761936,8.094394270122782,0.0,25,6,2,2011,72,0.12053668025532308,-0.992708874098054,0,0,0,0,0,0,47447561.77,47669734.66,45293457.04,43530032.78,46609036.29,47295686.9125,46005329.97833333,1455035.5436843599,-0.015553673015023004
2011-07-01,47578519.5,0,78.20163425452064,3.6780573183213923,171.07595456939612,8.057110883657455,0.0,26,7,3,2011,73,-3.216245299353273e-16,-1.0,0,0,0,0,0,0,45884094.58,47447561.77,48771994.18,46861958.29,48917484.5,47443346.2975,46207421.9275,1189935.6530336172,-0.027371910344245114
2011-07-08,47859263.78,0,79.54482770385533,3.6308447628795633,171.08555359351757,8.055986352780621,0.0,27,7,3,2011,74,-0.12053668025532283,-0.992708874098054,0,0,0,0,0,0,47578519.5,45884094.58,47669734.66,45446144.82,47899529.37,47144977.6275,46348342.98583334,845519.9033994286,-0.0008406260046724991
2011-07-15,45515929.92,0,79.57782147742817,3.677509233926129,171.0866368003762,8.060868331053351,0.0,28,7,3,2011,75,-0.23931566428755743,-0.9709418174260521,0,0,0,0,0,0,47859263.78,47578519.5,47447561.77,44046598.01,46243899.58,47192359.907500006,46588837.6225,888925.5993982838,-0.015741960920502382
2011-07-22,45274411.39,0,81.88677297668038,3.7277517146776407,171.29284049211248,8.058823731138546,0.0,29,7,3,2011,76,-0.3546048870425356,-0.9350162426854148,0,0,0,0,0,0,45515929.92,47859263.78,45884094.58,45293457.04,44888849.11,46709451.945,46325440.7775,1180826.7266593329,0.008589266324364474
2011-07-29,43683274.28,0,80.82299760191846,3.748713257965057,171.09954574097293,8.059837273038712,0.0,30,7,3,2011,77,-0.46472317204376806,-0.8854560256532101,0,0,0,0,0,0,45274411.39,45515929.92,47578519.5,48771994.18,44630363.42,46557031.1475,46470805.66166666,1350093.0204584436,-0.02122073555815111
2011-08-05,48015466.97,0,80.9423455104131,3.7608927961761696,171.3117418909867,8.049629224991465,0.0,31,8,3,2011,78,-0.5680647467311556,-0.8229838658936565,0,0,0,0,0,0,43683274.28,45274411.39,47859263.78,47669734.66,48204999.12,45583219.8425,46205915.32750001,1721439.2950763518,-0.003931794491442334
2011-08-12,46249569.21,0,80.0175272851296,3.7274600954979538,171.40906459123465,8.051475784447476,0.0,32,8,3,2011,79,-0.663122658240795,-0.7485107481711013,0,0,0,0,0,0,48015466.97,43683274.28,45515929.92,47447561.77,46464418.410000004,45622270.64,46420025.50666666,1790661.885501079,-0.004623951129747993
2011-08-19,46917347.62,0,78.69465289536065,3.6706671181848964,171.40614893772434,8.055118523535388,0.0,33,8,3,2011,80,-0.7485107481711011,-0.6631226582407952,0,0,0,0,0,0,46249569.21,48015466.97,45274411.39,45884094.58,47060952.92,45805680.462500006,46603606.44,1813564.4883116079,-0.00305147454715
2011-08-26,47416948.45,0,79.57237885462555,3.640540155879363,171.5793800175195,8.052607251779058,0.0,34,8,3,2011,81,-0.8229838658936564,-0.5680647467311559,0,0,0,0,0,0,46917347.62,46249569.21,43683274.28,47578519.5,45909740.44,46216414.519999996,46738930.655,1839002.9579006725,0.03282980900250991
2011-09-02,45376623.27,0,78.6693489318413,3.6537405900305187,171.63544955110206,8.042243133265513,0.0,35,9,3,2011,82,-0.8854560256532096,-0.4647231720437691,0,0,0,0,0,0,47416948.45,46917347.62,48015466.97,47859263.78,47194257.61,47149833.0625,46626010.1775,749488.0868843923,-0.038513887749234504
2011-09-09,46763227.53,1,72.93118661257607,3.684955037187289,171.7053648,8.04760243407708,0.0,36,9,3,2011,83,-0.9350162426854147,-0.3546048870425359,0,0,0,0,0,0,45376623.27,47416948.45,46249569.21,45515929.92,45634397.84,46490122.1375,46434917.56166667,883039.0828065886,0.02473637745715015
2011-09-16,43793960.08,0,70.55060420909709,3.6841320434487437,171.68268821697217,8.058975899524778,0.0,37,9,3,2011,84,-0.970941817426052,-0.23931566428755774,0,0,0,0,0,0,46763227.53,45376623.27,46917347.62,45274411.39,43080726.51,46618536.7175,46377889.708333336,873695.9219982547,0.016555746102249295
2011-09-23,42718096.73,0,68.02830909705783,3.6391251268177207,171.95037988654042,8.046562056137978,0.0,38,9,3,2011,85,-0.992708874098054,-0.12053668025532357,0,0,0,0,0,0,43793960.08,46763227.53,47416948.45,43683274.28,41358514.41,45837689.8325,46203711.833333336,1606247.3332533396,0.0328730937122652
